model,ldist,lattn,heads,dmodel,nstacklayers,params,Conformer Dimension,R2,RMSE,f0R2,f0RMSE,f1R2,f1RMSE,f2R2,f2RMSE
Model 0,33,25,8,512,16,21061633,3D,0.6805125119636574,1.4338979142324335,0.7711052736859005,1.1908835162600941,0.5432710734097352,1.8789187185777116,0.7153428080074001,1.1044916979829007
Model 0,33,25,8,512,16,21061633,2D,0.6172251520647993,1.5958224638770202,0.773195982648573,1.1656109740582363,0.4219343688900706,2.2341015149213455,0.7028947555313174,1.1359872617661062
Model 1,33,5,16,512,16,21061633,3D,0.680267652812418,1.3768354278425268,0.7678115061784546,1.1827556569011282,0.5381288307618182,1.7626609608350687,0.7062974971296657,1.086902701594591
Model 1,33,5,16,512,16,21061633,2D,0.6268025076337346,1.5784705533061658,0.7793095359171005,1.160233809596355,0.43914618467475314,2.18048457466667,0.6933599723393045,1.1723430308622953
Model 2,0,5,16,512,16,21061633,3D,0.640907561818765,1.5080707054357398,0.7711693190705426,1.1831165248858169,0.4250585758333479,2.0874672126474607,0.7352702864737134,1.0324296016849421
Model 2,0,5,16,512,16,21061633,2D,0.6300338598933308,1.5347016689554858,0.7695775704023897,1.1776504318437973,0.4116874521983676,2.1372267000476084,0.7280229852063033,1.0543732371213834
Model 3,0,33,16,512,16,21061633,3D,0.6316520614231996,1.5314049258340912,0.7782640681311315,1.1542241107975284,0.4200211354558576,2.141083765204763,0.7249905397041364,1.0580635915493526
Model 3,0,33,16,512,16,21061633,2D,0.686327445608745,1.3744247297251055,0.7859929634067085,1.1440245491206529,0.5108128769635887,1.8204318909821429,0.7395361571084841,1.022066232574158
Model 4,0,33,8,1024,8,42049537,3D,0.6001332295286447,1.6684248707331923,0.760650411998446,1.2364346202834156,0.37809039016409135,2.3619018908301093,0.7242020034601635,1.1153637507658007
Model 4,0,33,8,1024,8,42049537,2D,0.6094723053319662,1.6542709190765883,0.7731710977970375,1.1748981667743625,0.376868229658951,2.381701131084039,0.7287231898413686,1.0758371154097508
Model 5,33,5,32,1024,8,42049537,3D,0.6487450644461907,1.5427168217796994,0.7697235573263587,1.1636377542918788,0.5056537720446808,2.148926401355737,0.7117706844924743,1.080903443315033
Model 5,33,5,32,1024,8,42049537,2D,0.6645450390803646,1.4591561017866734,0.7750466272734468,1.1814820757181497,0.5128474938686991,1.9731628331167606,0.736604008116972,1.048068662874845
Model 6,0,25,16,1024,16,84066305,3D,0.6458140990488007,1.4868477905762634,0.7804621547464818,1.1394825856817286,0.4593676166318721,2.035816330455286,0.7206858821934506,1.0906361971455927
Model 6,0,25,16,1024,16,84066305,2D,0.6296168091588221,1.6057247301836293,0.7873925632769364,1.1423745602144406,0.43280960310563793,2.303368005401449,0.7214041260807936,1.0606454488590253
Model 7,0,5,16,1024,16,84066305,3D,0.7078859177990031,1.3346177108278,0.7758209532616478,1.206850742933479,0.5848771185568579,1.6838083222342644,0.7341753015714106,1.0257354718131204
Model 7,0,5,16,1024,16,84066305,2D,0.5115854042246606,1.7355844567727678,0.7811824855401078,1.1728752429843288,0.4171176195470893,2.066296811190935,0.1406109527657301,1.8415828527358256
Model 8,33,25,8,1024,16,84066305,3D,0.6076717932678046,1.6553606962247174,0.7816984040905542,1.1572034562314284,0.4267522024325664,2.311316236422084,0.7287105671840636,1.2408526732241578
Model 8,33,25,8,1024,16,84066305,2D,0.5953783867641309,1.756430750544502,0.7601640519534059,1.2289925260495922,0.41342287829635477,2.574305799962252,0.7160423636163212,1.0574805539245913
Model 9,0,25,8,1024,16,84066305,3D,0.6127873066478087,1.681058829092527,0.7809191201655996,1.2190239753366667,0.4095781951495648,2.4109688941440814,0.7275297178433013,1.086085058025315
Model 9,0,25,8,1024,16,84066305,2D,0.5738013902099328,1.78574191836841,0.783053934000694,1.1435783638953592,0.33374249443841764,2.6778488107406244,0.7420355788443569,1.0433638621043742
